PH,Turbidity,Dissolve Oxygen,Temp
6.99,2141.35,4.0,26.12
7.0,1528.83,6.0,26.19
6.99,0.0,7.0,26.12
6.99,251.35,2.0,26.12
6.99,286.36,3.0,26.12
6.99,216.11,7.0,26.06
6.99,72.94,8.0,26.06
6.99,180.66,12.0,26.12
6.99,251.35,8.0,26.12
6.99,216.11,11.0,26.12
6.99,216.11,8.0,26.12
6.99,424.16,8.0,26.12
6.99,251.35,5.0,26.12
6.98,-186.25,7.0,26.12
6.98,355.7,7.0,26.12
6.98,321.14,4.0,26.12
6.98,286.36,7.0,26.12
6.98,216.11,7.0,26.12
6.98,251.35,7.0,26.12
6.98,-111.08,7.0,26.19
6.98,-148.55,8.0,26.19
6.98,-495.91,8.0,26.12
6.98,-417.15,6.0,26.12
6.98,-417.15,7.0,26.12
6.99,-495.91,9.0,26.12
6.98,-417.15,6.0,26.19
6.98,-417.15,5.0,26.19
6.98,-378.11,6.0,26.12
6.97,-378.11,7.0,26.19
6.98,-417.15,9.0,26.12
6.98,-339.29,7.0,26.12
6.99,-262.32,7.0,26.25
6.98,-300.69,4.0,26.19
6.97,-300.69,7.0,26.19
6.98,-300.69,7.0,26.19
6.98,-224.17,8.0,26.19
6.98,-262.32,8.0,26.25
6.98,-262.32,6.0,26.25
6.97,-262.32,6.0,26.25
6.98,-186.25,7.0,26.25
6.97,-224.17,7.0,26.25
6.97,-339.29,9.0,26.25
6.98,-300.69,6.0,26.25
6.98,-300.69,7.0,26.31
