PH,Turbidity,Dissolve Oxygen,Temp
7.02,144.97,4.0,25.5
7.01,144.97,10.0,25.5
7.02,144.97,4.0,25.5
7.01,251.35,-3.0,25.5
7.01,216.11,2.0,25.56
7.02,216.11,9.0,25.5
7.02,216.11,1.0,25.5
7.01,216.11,0.0,25.56
7.01,216.11,0.0,25.56
7.01,216.11,-5.0,25.5
7.02,216.11,0.0,25.56
7.01,216.11,0.0,25.56
7.01,144.97,-1.0,25.56
7.01,144.97,-5.0,25.62
7.02,144.97,-1.0,25.56
7.01,109.07,-4.0,25.56
7.02,109.07,0.0,25.56
7.0,72.94,-6.0,25.56
7.01,72.94,-3.0,25.62
7.01,36.58,-4.0,25.62
7.01,36.58,-4.0,25.56
7.02,72.94,-1.0,25.62
7.02,36.58,-3.0,25.62
7.01,36.58,-6.0,25.62
7.01,72.94,-7.0,25.62
7.02,72.94,-8.0,25.56
7.01,72.94,-6.0,25.69
7.01,72.94,-7.0,25.62
7.01,72.94,-8.0,25.62
7.0,-111.08,-9.0,25.69
7.01,-111.08,-8.0,25.62
7.01,-111.08,-6.0,25.69
7.01,-111.08,-8.0,25.62
7.01,-111.08,-9.0,25.62
7.01,-186.25,-8.0,25.69
7.0,-186.25,-9.0,25.62
7.01,-186.25,-4.0,25.62
7.0,-186.25,-8.0,25.62
7.01,-262.32,-12.0,25.62
7.01,-262.32,-10.0,25.69
7.01,-262.32,-14.0,25.62
7.01,-262.32,-8.0,25.69
7.01,-262.32,-11.0,25.69
7.01,-224.17,-13.0,25.69
7.01,216.11,-10.0,25.69
7.02,216.11,-14.0,25.69
7.01,216.11,-12.0,25.69
7.01,216.11,-8.0,25.69
7.01,216.11,-10.0,25.69
7.01,216.11,-13.0,25.69
7.01,216.11,-13.0,25.69
7.02,216.11,-13.0,25.69
7.02,216.11,-8.0,25.69
7.01,286.36,-13.0,25.62
7.0,251.35,-18.0,25.69
7.01,251.35,-13.0,25.69
7.01,251.35,-15.0,25.62
7.01,251.35,-12.0,25.69
